Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Preorder: enabled (product.metafields.custom.preorder_enabled),Product subtitle (product.metafields.descriptors.subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Dog age group (product.metafields.shopify.dog-age-group),Dog toy type (product.metafields.shopify.dog-toy-type),Embellishment/Trim material (product.metafields.shopify.embellishment-trim-material),Fabric (product.metafields.shopify.fabric),Headwear features (product.metafields.shopify.headwear-features),Package type (product.metafields.shopify.package-type),Pet dietary requirements (product.metafields.shopify.pet-dietary-requirements),Pet food flavor (product.metafields.shopify.pet-food-flavor),Pet treat texture (product.metafields.shopify.pet-treat-texture),Pet treat type (product.metafields.shopify.pet-treat-type),Suitable for breed size (product.metafields.shopify.suitable-for-breed-size),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Toy/Game material (product.metafields.shopify.toy-game-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mumbies-wood-chew,,,,,,,,,Large,,,5-Pack,,,,,MWC-LARGE-5PACK,1383.4567285,shopify,deny,manual,85.26,89.75,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0771/6913/1816/files/MumbiesCommunity_KendylW_WinstonW-4.jpg?v=1744733631,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListingTALL_FreeRoot-Large.jpg?v=1761587526,lb,,0.81,
mumbies-wood-chew,,,,,,,,,Large,,,10-Pack,,,,,MWC-LARGE-10PACK,2766.913457,shopify,continue,manual,152.57,179.50,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0771/6913/1816/files/437723955_1836789076744262_7141804566407520696_n.jpg?v=1761567120,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-10Pack-L.jpg?v=1741315321,lb,,0.81,
mumbies-wood-chew,,,,,,,,,XL,,,Single Unit,,,,,MWC-XLARGE,544.310844,shopify,deny,manual,19.49,,true,true,,,,,'5070002584636,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-OGChews-3-S.jpg?v=1741314994,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-OGChews-3-XL.jpg?v=1741314994,lb,,2.44,
mumbies-wood-chew,,,,,,,,,XL,,,5-Pack,,,,,MWC-XL-5PACK,2721.55422,shopify,continue,manual,92.57,97.45,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-OGChews-3-M.jpg?v=1741314994,14,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListingTALL_FreeRoot-XL.jpg?v=1761587547,lb,,0.81,
mumbies-wood-chew,,,,,,,,,XL,,,10-Pack,,,,,MWC-XL-10PACK,5443.10844,shopify,continue,manual,165.66,194.90,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-OGChews-3-L.jpg?v=1741314994,15,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-10Pack-XL.jpg?v=1741315321,lb,,0.81,
mumbies-wood-chew,,,,,,,,,XXL,,,Single Unit,,,,,MWC-XXL,907.18474,shopify,deny,manual,21.95,,true,true,,,,,'5070002584643,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-OGChews-3-XL.jpg?v=1741314994,16,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-OGChews-3-XXL.jpg?v=1741314994,lb,,1.65,
mumbies-wood-chew,,,,,,,,,XXL,,,5-Pack,,,,,MWC-XXL-5PACK,4762.719885,shopify,deny,manual,104.26,109.75,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-OGChews-3-XXL.jpg?v=1741314994,17,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListingTALL_FreeRoot-XXL.jpg?v=1761587564,lb,,0.81,
mumbies-wood-chew,,,,,,,,,XXL,,,10-Pack,,,,,MWC-XXL-10PACK,9071.8474,shopify,continue,manual,186.57,219.50,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-10Pack-L.jpg?v=1741315321,18,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-10Pack-XXL.jpg?v=1741315321,lb,,0.81,
mumbies-wood-chew,,,,,,,,,Variety Pack,,,Variety Pack - All Sizes,,,,,MWC-VARIETY-AC,2041.165665,shopify,continue,manual,84.40,93.78,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-10Pack-M.jpg?v=1741315321,19,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_OriginalChew-VarietyPackwithXS.webp?v=1761249751,lb,,5.99,
mumbies-wood-chew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0771/6913/1816/files/Mumbies_ProductListing-10Pack-S.jpg?v=1741315321,20,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
